X,Y,id,left,top,right,bottom,row_index,col_index,fid,VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE
120.323628813208,23.1307394668321,163914,180152.13128028,2559421.02934436,181306.831818659,2558421.02934436,371,291,1,"67000190020",臺南市,善化區,嘉南里,Jianan Vil.,D,"67000",D27,"67000190",
120.332062051956,23.1352904907694,164476,181018.156684064,2559921.02934436,182172.857222444,2558921.02934436,371,292,1,"67000190020",臺南市,善化區,嘉南里,Jianan Vil.,D,"67000",D27,"67000190",
120.332106765485,23.126260519778,164477,181018.156684064,2558921.02934436,182172.857222444,2557921.02934436,372,292,1,"67000190020",臺南市,善化區,嘉南里,Jianan Vil.,D,"67000",D27,"67000190",
120.33219612511,23.1082005465506,164479,181018.156684064,2556921.02934436,182172.857222444,2555921.02934436,374,292,1,"67000190020",臺南市,善化區,嘉南里,Jianan Vil.,D,"67000",D27,"67000190",
120.340495868046,23.1398410742637,165037,181884.182087849,2560421.02934436,183038.882626228,2559421.02934436,370,293,2,"67000190019",臺南市,善化區,嘉北里,Jiabei Vil.,D,"67000",D27,"67000190",
120.33201731594,23.1443204513418,164475,181018.156684064,2560921.02934436,182172.857222444,2559921.02934436,370,292,2,"67000190019",臺南市,善化區,嘉北里,Jiabei Vil.,D,"67000",D27,"67000190",
120.340451687171,23.1488710450994,165036,181884.182087849,2561421.02934436,183038.882626228,2560421.02934436,369,293,2,"67000190019",臺南市,善化區,嘉北里,Jiabei Vil.,D,"67000",D27,"67000190",
120.314228546818,23.3158145383344,163332,179286.105876496,2579921.02934436,180440.806414875,2578921.02934436,351,290,4,"67000010001",臺南市,新營區,忠政里,Zhongzheng Vil.,D,"67000",D09,"67000010",
120.322718660906,23.311336485211,163894,180152.13128028,2579421.02934436,181306.831818659,2578421.02934436,351,291,6,"67000010029",臺南市,新營區,新東里,Xindong Vil.,D,"67000",D09,"67000010",
120.179749092482,23.1526315528187,154358,165429.699415945,2561921.02934436,166584.399954324,2560921.02934436,369,274,7,"67000120003",臺南市,佳里區,鎮山里,Zhenshan Vil.,D,"67000",D20,"67000120",
120.18817858244,23.1571901703242,154919,166295.724819729,2562421.02934436,167450.425358108,2561421.02934436,368,275,8,"67000120002",臺南市,佳里區,忠仁里,Zhongren Vil.,D,"67000",D20,"67000120",
120.196608652786,23.1617483503075,155481,167161.750223513,2562921.02934436,168316.450761893,2561921.02934436,368,276,9,"67000120019",臺南市,佳里區,民安里,Min'an Vil.,D,"67000",D20,"67000120",
120.188124152749,23.1662198115467,154918,166295.724819729,2563421.02934436,167450.425358108,2562421.02934436,367,275,9,"67000120019",臺南市,佳里區,民安里,Min'an Vil.,D,"67000",D20,"67000120",
120.196500872989,23.1798076494788,155479,167161.750223513,2564921.02934436,168316.450761893,2563921.02934436,366,276,9,"67000120019",臺南市,佳里區,民安里,Min'an Vil.,D,"67000",D20,"67000120",
120.196446942474,23.1888372833603,155478,167161.750223513,2565921.02934436,168316.450761893,2564921.02934436,365,276,10,"67000120007",臺南市,佳里區,佳化里,Jiahua Vil.,D,"67000",D20,"67000120",
120.204879254913,23.1933950657293,156039,168027.775627298,2566421.02934436,169182.476165677,2565421.02934436,364,277,10,"67000120007",臺南市,佳里區,佳化里,Jiahua Vil.,D,"67000",D20,"67000120",
120.22971310204,23.2883324847376,157715,170625.851838651,2576921.02934436,171780.55237703,2575921.02934436,354,280,11,"67000020014",臺南市,鹽水區,歡雅里,Huanya Vil.,D,"67000",D10,"67000020",
120.229765048054,23.2793028927648,157716,170625.851838651,2575921.02934436,171780.55237703,2574921.02934436,355,280,11,"67000020014",臺南市,鹽水區,歡雅里,Huanya Vil.,D,"67000",D10,"67000020",
120.238152750307,23.2928886241078,158276,171491.877242436,2577421.02934436,172646.577780815,2576421.02934436,353,281,11,"67000020014",臺南市,鹽水區,歡雅里,Huanya Vil.,D,"67000",D10,"67000020",
120.238204138449,23.2838590195076,158277,171491.877242436,2576421.02934436,172646.577780815,2575421.02934436,354,281,11,"67000020014",臺南市,鹽水區,歡雅里,Huanya Vil.,D,"67000",D10,"67000020",
120.246643812464,23.2884147047825,158839,172357.90264622,2576921.02934436,173512.603184599,2575921.02934436,354,282,11,"67000020014",臺南市,鹽水區,歡雅里,Huanya Vil.,D,"67000",D10,"67000020",
120.263425460899,23.3155840218488,159960,174089.953453789,2579921.02934436,175244.653992168,2578921.02934436,351,284,12,"67000020008",臺南市,鹽水區,橋南里,Qiaonan Vil.,D,"67000",D10,"67000020",
120.27191718254,23.3111087619582,160522,174955.978857573,2579421.02934436,176110.679395953,2578421.02934436,351,285,12,"67000020008",臺南市,鹽水區,橋南里,Qiaonan Vil.,D,"67000",D10,"67000020",
120.189369131832,22.958535421395,154941,166295.724819729,2540421.02934436,167450.425358108,2539421.02934436,390,275,14,"67000330032",臺南市,南區,建南里,Jiannan Vil.,D,"67000",D02,"67000330",
120.197787099822,22.9630933024632,155503,167161.750223513,2540921.02934436,168316.450761893,2539921.02934436,390,276,14,"67000330032",臺南市,南區,建南里,Jiannan Vil.,D,"67000",D02,"67000330",
120.197840355746,22.9540634077707,155504,167161.750223513,2539921.02934436,168316.450761893,2538921.02934436,391,276,14,"67000330032",臺南市,南區,建南里,Jiannan Vil.,D,"67000",D02,"67000330",
120.180951737898,22.9539771070985,154380,165429.699415945,2539921.02934436,166584.399954324,2538921.02934436,391,274,19,"67000330036",臺南市,南區,鯤鯓里,Kunshen Vil.,D,"67000",D02,"67000330",
120.158150251667,22.9669162044755,152692,162831.623204591,2541421.02934436,163986.323742971,2540421.02934436,389,271,19,"67000330036",臺南市,南區,鯤鯓里,Kunshen Vil.,D,"67000",D02,"67000330",
120.165145157766,22.9641790307254,153255,163697.648608376,2540921.02934436,164852.349146755,2539921.02934436,390,272,19,"67000330036",臺南市,南區,鯤鯓里,Kunshen Vil.,D,"67000",D02,"67000330",
120.172425043347,22.9674780354287,153816,164563.67401216,2541421.02934436,165718.374550539,2540421.02934436,389,273,19,"67000330036",臺南市,南區,鯤鯓里,Kunshen Vil.,D,"67000",D02,"67000330",
120.17264261053,22.9585308138587,153817,164563.67401216,2540421.02934436,165718.374550539,2539421.02934436,390,273,19,"67000330036",臺南市,南區,鯤鯓里,Kunshen Vil.,D,"67000",D02,"67000330",
